from,to,relation,note
Air handling unit (AHU),ASHRAE 170,under,
Air handling unit (AHU),ASHRAE 170,governed_by,
Air handling unit (AHU),NFPA 90A,under,
Air handling unit (AHU),NFPA 90A,governed_by,
Fan coil unit (FCU),UL 1995 / EN 60335-2-40,under,
Fan coil unit (FCU),UL 1995 / EN 60335-2-40,governed_by,
Air-cooled chiller,UL 1995 / EN 60335-2-40,under,
Air-cooled chiller,UL 1995 / EN 60335-2-40,governed_by,
Air handling unit (AHU),VDI 6022 / DIN 1946-4,under,
Air handling unit (AHU),VDI 6022 / DIN 1946-4,governed_by,
Fan coil unit (FCU),AHRI 440,under,
Fan coil unit (FCU),AHRI 440,governed_by,
Fan coil unit (FCU),Eurovent Certified Performance — Fan coil units,under,
Fan coil unit (FCU),Eurovent Certified Performance — Fan coil units,governed_by,
Fan coil unit (FCU),ISO 3741,under,
Fan coil unit (FCU),ISO 3741,governed_by,
Air-cooled chiller,AHRI 550/590,under,
Air-cooled chiller,AHRI 550/590,governed_by,
Air-cooled chiller,Eurovent Certified Performance — Chillers (LCP-HP),under,
Air-cooled chiller,Eurovent Certified Performance — Chillers (LCP-HP),governed_by,
Air-cooled chiller,SASO 2874,under,
Air-cooled chiller,SASO 2874,governed_by,
Air-cooled chiller,SASO 2663,under,
Air-cooled chiller,SASO 2663,governed_by,
Air-cooled chiller,UAE.S 5010 (ESMA / MoIAT),under,
Air-cooled chiller,UAE.S 5010 (ESMA / MoIAT),governed_by,
Air-cooled chiller,ASHRAE 15 / ASHRAE 34,under,
Air-cooled chiller,ASHRAE 15 / ASHRAE 34,governed_by,
Air-cooled chiller,ISO 9614 / ISO 3744,under,
Air-cooled chiller,ISO 9614 / ISO 3744,governed_by,
Air handling unit (AHU),Dubai Green Building Regulations (Al Sa'fat),under,
Air handling unit (AHU),Dubai Green Building Regulations (Al Sa'fat),governed_by,
Fan coil unit (FCU),Dubai Green Building Regulations (Al Sa'fat),under,
Fan coil unit (FCU),Dubai Green Building Regulations (Al Sa'fat),governed_by,
Air-cooled chiller,Dubai Green Building Regulations (Al Sa'fat),under,
Air-cooled chiller,Dubai Green Building Regulations (Al Sa'fat),governed_by,
Air handling unit (AHU),Estidama Pearl Rating System,under,
Air handling unit (AHU),Estidama Pearl Rating System,governed_by,
Fan coil unit (FCU),Estidama Pearl Rating System,under,
Fan coil unit (FCU),Estidama Pearl Rating System,governed_by,
Air-cooled chiller,Estidama Pearl Rating System,under,
Air-cooled chiller,Estidama Pearl Rating System,governed_by,
Air handling unit (AHU),Saudi Building Code — SBC 501 / SBC 601,under,
Air handling unit (AHU),Saudi Building Code — SBC 501 / SBC 601,governed_by,
Fan coil unit (FCU),Saudi Building Code — SBC 501 / SBC 601,under,
Fan coil unit (FCU),Saudi Building Code — SBC 501 / SBC 601,governed_by,
Air-cooled chiller,Saudi Building Code — SBC 501 / SBC 601,under,
Air-cooled chiller,Saudi Building Code — SBC 501 / SBC 601,governed_by,
Air handling unit (AHU),Saudi Aramco SAES-K series,under,
Air handling unit (AHU),Saudi Aramco SAES-K series,governed_by,
Air-cooled chiller,Saudi Aramco SAES-K series,under,
Air-cooled chiller,Saudi Aramco SAES-K series,governed_by,
Air handling unit (AHU),Daikin D-AHU Professional,under,
Air handling unit (AHU),Daikin D-AHU Modular P / Modular R,under,
Air handling unit (AHU),Daikin D-AHU Compact L / Compact T,under,
Air handling unit (AHU),York (Johnson Controls) custom air handling units,under,
Air handling unit (AHU),Systemair Geniox,under,
Fan coil unit (FCU),Daikin concealed ceiling fan coil units (DMEA range),under,
Fan coil unit (FCU),York (Johnson Controls) fan coil units,under,
Fan coil unit (FCU),Systemair fan coil units,under,
Air-cooled chiller,Daikin EWAD-TZ (inverter screw),under,
Air-cooled chiller,Daikin EWAT-B (R-32 scroll),under,
Air-cooled chiller,York YVAA (variable-speed screw),under,
Air-cooled chiller,York YLAA (scroll),under,
Air-cooled chiller,Systemair SYSCROLL Air / SYSCREW Air,under,
"UAE market — what changes for AHU, FCU and chillers",UAE electrical supply — 50 Hz,under,
"UAE market — what changes for AHU, FCU and chillers",UAE design ambient — 46 °C,under,
"UAE market — what changes for AHU, FCU and chillers",Coastal corrosion protection,under,
"UAE market — what changes for AHU, FCU and chillers",District cooling design temperatures,under,
"UAE market — what changes for AHU, FCU and chillers","Dubai Civil Defence — ducts, dampers and smoke",under,
"KSA market — what changes for AHU, FCU and chillers",KSA electrical supply — 60 Hz,under,
"KSA market — what changes for AHU, FCU and chillers",KSA design ambient — 46 to 50 °C,under,
"KSA market — what changes for AHU, FCU and chillers",SASO / SLS registration before shipment,under,
"KSA market — what changes for AHU, FCU and chillers",Dust and sand,under,
"KSA market — what changes for AHU, FCU and chillers","Industrial owner standards — Aramco, SABIC, Ma'aden",under,
Air-cooled chiller,Fan coil unit (FCU),connected_to,Chilled water loop
Air-cooled chiller,Air handling unit (AHU),connected_to,Chilled water loop
