# title | kind | lane | forms (;) | meaning | hindi | urdu | roman urdu | in use (from the chapter) | source
# lanes: nouns verbs describing phrases   kinds: word phrase idiom
# ── Class 9 · Beehive ───────────────────────────────────────────────────
Orthodox|word|describing|orthodoxy|Following the traditional and accepted beliefs strictly.|रूढ़िवादी|قدامت پسند|Qadamat-pasand|Kalam's parents were orthodox, but never made caste or religion a wall between people.|NCERT Beehive — My Childhood
Segregation|word|nouns|segregate;segregated|Keeping groups of people apart, especially by race, caste or religion.|अलगाव, पृथक्करण|علیحدگی|Alahidgi|The new teacher could not stomach a Hindu priest's son sitting with a Muslim boy — social segregation in a classroom.|NCERT Beehive — My Childhood
Optimism|word|nouns|optimist;optimistic|Hopefulness; the belief that good things will happen.|आशावाद|رجائیت|Rajaiyat|Kalam's father spoke of faith and optimism when he explained why people came to him with troubles.|NCERT Beehive — My Childhood
Slapdash|word|describing||Done hurriedly and carelessly.|लापरवाही से किया गया|بے پروا، سرسری|Be-parwa|Harris and George packed the hamper in a slapdash way, breaking a cup and crushing a tomato.|NCERT Beehive — Packing
Uncanny|word|describing|uncannily|Strange or mysterious in an unsettling way.|रहस्यमय, विचित्र|پراسرار|Pur-asrar|Montmorency had an uncanny knack of getting in the way of whatever was being packed.|NCERT Beehive — Packing
Rummage|word|verbs|rummaged;rummaging|To search untidily through a pile of things.|उलट-पलट कर ढूँढना|الٹ پلٹ کر ڈھونڈنا|Ulat-palat kar dhoondna|They rummaged through everything to find the butter, which was on the chair George had sat on.|NCERT Beehive — Packing
Grit|word|nouns|gritty|Courage and determination that keep you going through difficulty.|साहस, दृढ़ता|حوصلہ|Hausla|Santosh Yadav's grit took her to the top of Everest — twice.|NCERT Beehive — Reach for the Top
Contemporaries|word|nouns|contemporary|People of about the same age or living at the same time.|समकालीन|ہم عصر|Hum-asr|Unlike her contemporaries, Santosh was not content with the life set out for a village girl.|NCERT Beehive — Reach for the Top
Wistful|word|describing|wistfully|Sadly longing for something; full of quiet regret.|उदास लालसा भरा|حسرت بھرا|Hasrat-bhara|Bruno was not wistful when he was sent to the zoo — but the narrator's wife certainly was.|NCERT Beehive — The Bond of Love
Squat|word|verbs|squatted;squatting|To sit low with knees bent and heels close to the body.|उकड़ूँ बैठना|اکڑوں بیٹھنا|Ukroon baithna|Bruno would squat on his haunches and wait for the sugarcane and chapatis.|NCERT Beehive — The Bond of Love
Fervent|word|describing|fervently|Showing strong and sincere feeling.|उत्साही, तीव्र|پرجوش|Pur-josh|In Kathmandu, fervent worshippers press towards the shrine at Pashupatinath.|NCERT Beehive — Kathmandu
Haggle|word|verbs|haggled;haggling|To argue about a price before agreeing.|मोलभाव करना|بھاؤ تاؤ کرنا|Bhao-tao karna|Vikram Seth haggles with the flute seller, who watches with none of the pushy trader's manner.|NCERT Beehive — Kathmandu
Intruder|word|nouns|intrude;intrusion|Someone who enters a place where they are not wanted or allowed.|घुसपैठिया|گھس بیٹھیا|Ghus-baithiya|Gerrard faces the intruder calmly, and by the end has him locked in the cupboard.|NCERT Beehive — If I Were You
Nonchalant|word|describing|nonchalantly|Calm and unconcerned, especially when others would be worried.|बेपरवाह|بے پروا|Be-parwa|Gerrard's nonchalant manner while a gun points at him is what wins the scene.|NCERT Beehive — If I Were You
Diverge|word|verbs|diverged;diverging|To split and go in different directions.|अलग होना, बँटना|جدا ہونا|Juda hona|"Two roads diverged in a yellow wood" — Frost's speaker must choose one.|NCERT Beehive — The Road Not Taken (poem)
Undergrowth|word|nouns||Low bushes and plants growing under trees.|झाड़-झंखाड़|جھاڑیاں|Jhariyan|He looked down one road as far as he could, to where it bent in the undergrowth.|NCERT Beehive — The Road Not Taken (poem)
Crumbling|word|describing|crumble;crumbled|Breaking into small pieces; falling apart.|टूटता हुआ, ढहता हुआ|ٹوٹتا ہوا|Tootta hua|The wind winnows and crushes crumbling doors, weak houses and weak hearts.|NCERT Beehive — Wind (poem)
Winnow|word|verbs|winnowed;winnowing|To separate grain from chaff by throwing it in the wind; to sift.|ओसाना, फटकना|پھٹکنا|Phatakna|"He winnows and crushes them all" — the wind sorts the weak from the strong.|NCERT Beehive — Wind (poem)
Glimmer|word|nouns|glimmers;glimmering|A faint, unsteady light.|टिमटिमाहट|ٹمٹماہٹ|Timtimahat|Wattles made, and a hive for the honey bee, with a glimmer of midnight in the lake.|NCERT Beehive — The Lake Isle of Innisfree (poem)
Aroma|word|nouns|aromatic|A pleasant, distinctive smell.|सुगंध|خوشبو|Khushboo|The old woman baking cakes, the aroma reaching the door where Saint Peter begged.|NCERT Beehive — A Legend of the Northland (poem)
Defile|word|verbs|defiled;defiling|To spoil or make dirty something that should be respected.|अपवित्र करना|ناپاک کرنا|Napaak karna|"It is the human earth that we defile" — Kirkup on war.|NCERT Beehive — No Men Are Foreign (poem)
Hack|word|verbs|hacked;hacking|To cut roughly with heavy blows.|काटना, कुल्हाड़ी चलाना|کاٹنا|Kaatna|"So hack and chop, but this alone won't do it" — a tree survives being cut.|NCERT Beehive — On Killing a Tree (poem)
# ── Class 9 · Moments ────────────────────────────────────────────────────
Mound|word|nouns|mounds|A heap or small hill of earth or things.|टीला, ढेर|ٹیلہ|Teela|The lost child was lifted from the mound of crushed feet in the crowd by a stranger.|NCERT Moments — The Lost Child
Congested|word|describing|congestion|Overcrowded; too full to move freely.|भीड़भाड़ वाला|ہجوم زدہ|Hujoom-zada|The fair was congested; the child was swept from his parents in the crush.|NCERT Moments — The Lost Child
Mischievous|word|describing|mischief;mischievously|Fond of playful trouble; naughty in a lively way.|शरारती|شرارتی|Shararti|Toto was a mischievous monkey who tore Grandfather's wallpaper and terrified the goat.|NCERT Moments — The Adventures of Toto
Scamper|word|verbs|scampered;scampering|To run quickly with small, light steps.|तेज़ी से भागना|دوڑ لگانا|Daur lagana|Toto scampered up the curtains whenever Grandmother came near.|NCERT Moments — The Adventures of Toto
Yarn|word|nouns|yarns|A long, improbable story told for entertainment.|लंबी मनगढ़ंत कहानी|لمبی کہانی|Lambi kahani|Iswaran could weave a yarn out of the smallest incident — a fallen tree became a bulldozing elephant.|NCERT Moments — Iswaran the Storyteller
Bulldozer|word|nouns|bulldozing|A heavy machine with a wide blade for pushing earth.|बुलडोज़र|بلڈوزر|Bulldozer|The elephant, in Iswaran's telling, went through the school gate like a bulldozer.|NCERT Moments — Iswaran the Storyteller
Guru|word|nouns|gurus|A spiritual teacher or wise guide.|गुरु|گرو|Guru|The guru and his disciple came to the kingdom of fools, where everything cost a duddu.|NCERT Moments — In the Kingdom of Fools
Disciple|word|nouns|disciples|A follower of a teacher, leader or set of beliefs.|शिष्य|شاگرد|Shagird|The disciple grew fat on cheap food and would not leave the kingdom of fools.|NCERT Moments — In the Kingdom of Fools
Mausoleum|word|nouns|mausoleums|A grand building that holds a tomb.|मकबरा|مقبرہ|Maqbara|The Happy Prince's statue was later melted down; his leaden heart would not melt.|NCERT Moments — The Happy Prince
Reed|word|nouns|reeds|A tall grass by water; the swallow fell in love with one.|सरकंडा|نرکل|Narkul|The swallow stayed behind for love of a reed and then for love of the Prince.|NCERT Moments — The Happy Prince
Garret|word|nouns|garrets|A small room at the very top of a house, under the roof.|अटारी|اٹاری|Atari|The young playwright in his garret was too cold and hungry to finish his play.|NCERT Moments — The Happy Prince
Devastate|word|verbs|devastated;devastating;devastation|To destroy completely; to overwhelm with shock.|तबाह करना|تباہ کرنا|Tabah karna|The super-cyclone devastated Ersama in October 1999.|NCERT Moments — Weathering the Storm in Ersama
Debris|word|nouns||Scattered broken pieces left after something is destroyed.|मलबा|ملبہ|Malba|Prashant waded through debris and floating bodies to reach his village.|NCERT Moments — Weathering the Storm in Ersama
Sanctuary|word|nouns|sanctuaries|A safe place; a place of protection.|शरण स्थल|پناہ گاہ|Panah-gah|The Red Cross shelter became a sanctuary for hundreds of survivors.|NCERT Moments — Weathering the Storm in Ersama
Pneumonia|word|nouns||A serious infection of the lungs.|निमोनिया|نمونیا|Pneumonia|Johnsy lay ill with pneumonia, counting the ivy leaves outside her window.|NCERT Moments — The Last Leaf
Masterpiece|word|nouns|masterpieces|A person's best and greatest piece of work.|उत्कृष्ट कृति|شاہکار|Shahkar|Behrman's masterpiece was the last leaf, painted on the wall the night the real one fell.|NCERT Moments — The Last Leaf
Awkward|word|describing|awkwardly;awkwardness|Uncomfortable, embarrassed or clumsy.|असहज, अटपटा|بے تکا، شرمندہ|Be-tuka|Zan felt awkward in the new school, an outsider whose house had just burned down.|NCERT Moments — A House Is Not a Home
Ordeal|word|nouns|ordeals|A painful or difficult experience that lasts a while.|कठिन परीक्षा|کڑی آزمائش|Kari aazmaish|The fire, the lost cat, the new school — an ordeal that ended with a kitten and new friends.|NCERT Moments — A House Is Not a Home
Bumbling|word|describing|bumble;bumbler|Acting in a confused, clumsy way.|अनाड़ीपन से, लड़खड़ाता|اناڑی|Anari|Bill Bryson calls himself a bumbling traveller who spills, drops and loses things.|NCERT Moments — The Accidental Tourist
Catastrophe|word|nouns|catastrophes;catastrophic|A sudden disaster.|विपत्ति, महाविनाश|تباہی|Tabahi|Bryson's attempt to open a bag of nuts on a plane ends in catastrophe — nuts everywhere.|NCERT Moments — The Accidental Tourist
Kopeck|word|nouns|kopecks|A small Russian coin, one hundredth of a rouble.|कोपेक (रूसी सिक्का)|کوپیک|Kopeck|The beggar asked for a kopeck; Sergei offered him work chopping wood instead.|NCERT Moments — The Beggar
Slander|word|nouns|slandered;slanderous|A false spoken statement that damages a person's reputation.|मानहानि, झूठा आरोप|بہتان|Bohtan|Lushkoff had lost his job through slander, or so he claimed on the street.|NCERT Moments — The Beggar
# ── Class 10 · First Flight ──────────────────────────────────────────────
Hailstones|word|nouns|hail;hailstone|Small balls of ice that fall like rain.|ओले|اولے|Olay|Hailstones the size of silver coins destroyed Lencho's corn.|NCERT First Flight — A Letter to God
Amiable|word|describing|amiably|Friendly and pleasant.|मिलनसार|خوش مزاج|Khush-mizaj|The postmaster, a fat, amiable fellow, decided to answer Lencho's letter himself.|NCERT First Flight — A Letter to God
Resolution|word|nouns|resolutions;resolve|A firm decision; also the settling of a problem.|संकल्प|عزم|Azm|Lencho's resolution to write to God shows a faith the postmaster could not laugh at.|NCERT First Flight — A Letter to God
Emancipation|word|nouns|emancipate;emancipated|Being set free from control, especially slavery or oppression.|मुक्ति|آزادی، رہائی|Rihai|Mandela speaks of the country's emancipation from apartheid.|NCERT First Flight — Nelson Mandela: Long Walk to Freedom
Apartheid|word|nouns||The former South African system of racial separation and white rule.|रंगभेद|نسلی امتیاز|Nasli imtiaz|Apartheid created one of the harshest, most inhumane societies the world has known.|NCERT First Flight — Nelson Mandela: Long Walk to Freedom
Inclination|word|nouns|inclined|A natural tendency or leaning towards something.|झुकाव|رجحان|Rujhan|Mandela's inclination towards freedom was born in the moment he saw his own was taken.|NCERT First Flight — Nelson Mandela: Long Walk to Freedom
Transitory|word|describing||Lasting only a short time.|क्षणिक|عارضی|Aarzi|The boyhood freedoms Mandela remembers were transitory.|NCERT First Flight — Nelson Mandela: Long Walk to Freedom
Plunge|word|verbs|plunged;plunging|To fall or dive suddenly and steeply.|छलांग लगाना, गिरना|غوطہ لگانا|Ghota lagana|The young seagull plunged from the ledge and found his wings held him.|NCERT First Flight — Two Stories about Flying
Devour|word|verbs|devoured;devouring|To eat greedily and fast.|निगल जाना, भकोसना|ہڑپ کرنا|Harap karna|The seagull devoured the fish his mother dropped at last.|NCERT First Flight — Two Stories about Flying
Ecstatic|word|describing|ecstasy|Wildly happy.|आनंदविभोर|بے حد خوش|Be-had khush|Anne says she is ecstatic when she can finally write freely in her diary.|NCERT First Flight — From the Diary of Anne Frank
Chatterbox|word|nouns|chatterboxes|Someone who talks a great deal.|बातूनी|باتونی|Baatooni|Mr Keesing set Anne an essay titled "A Chatterbox" as punishment for talking.|NCERT First Flight — From the Diary of Anne Frank
Ramble|word|verbs|rambled;rambling|To talk or write at length without a clear point; also to wander.|बिना सिर-पैर बोलना|بے ربط بولنا|Be-rabt bolna|Anne's essay rambled on purpose, and her teacher laughed.|NCERT First Flight — From the Diary of Anne Frank
Coorgi|word|nouns|Coorg;Kodava|A person from Coorg (Kodagu) in Karnataka.|कुर्ग निवासी|کورگ کا باشندہ|Coorg ka bashinda|The Coorgi people are said to descend from Greeks or Arabs; the men are fiercely independent.|NCERT First Flight — Glimpses of India
Loaves|word|nouns|loaf|Plural of loaf — a shaped mass of baked bread.|पावरोटियाँ|ڈبل روٹیاں|Double rotiyan|The Goan baker's loaves were counted out to the children who followed his bamboo staff.|NCERT First Flight — Glimpses of India
Monotonous|word|describing|monotony|Dull and repetitive, always the same.|नीरस|یکسانیت بھرا، اکتا دینے والا|Yaksaniyat-bhara|Assam's tea pickers moved through the monotonous green in the afternoon light.|NCERT First Flight — Glimpses of India
Otter|word|nouns|otters|A playful, fish-eating mammal that lives near water.|ऊदबिलाव|اودبلاؤ|Udbilao|Mijbil the otter travelled from Iraq to London in a box, and then in a basin of water.|NCERT First Flight — Mijbil the Otter
Marmalade|word|nouns||A jam made from citrus fruit, usually oranges.|संतरे का मुरब्बा|مالٹے کا مربہ|Malte ka murabba|Mij's fur was the colour of marmalade — hence the name.|NCERT First Flight — Mijbil the Otter
Compulsion|word|nouns|compulsive;compel|A strong urge that is hard to resist; also force.|मजबूरी, प्रबल इच्छा|مجبوری|Majboori|Mij had a compulsion to play with water — a running tap was irresistible.|NCERT First Flight — Mijbil the Otter
Thrilling|word|describing|thrill;thrilled|Very exciting.|रोमांचक|سنسنی خیز|Sansani-khez|Valli's first bus ride was thrilling — every canal and palm tree new.|NCERT First Flight — Madam Rides the Bus
Repulsive|word|describing|repulsion|Causing strong dislike or disgust.|घिनौना|گھناؤنا|Ghinauna|The dead cow on the road, once running so joyfully, was a repulsive sight to Valli.|NCERT First Flight — Madam Rides the Bus
Mortal|word|describing|mortals;mortality|Subject to death; human.|नश्वर|فانی|Fani|The Buddha tells Kisa Gotami that mortals are always dying; grief cannot change it.|NCERT First Flight — The Sermon at Benares
Enlightenment|word|nouns|enlightened|A state of deep spiritual understanding; the Buddha's awakening.|ज्ञानोदय, बोध|روشن خیالی، معرفت|Marifat|Gautama attained enlightenment under a peepal tree and became the Buddha.|NCERT First Flight — The Sermon at Benares
Hypochondriac|word|nouns|hypochondria|A person who constantly worries about being ill.|काल्पनिक रोगी|وہمی مریض|Wahmi mareez|Lomov, a hypochondriac, feels palpitations at every argument in The Proposal.|NCERT First Flight — The Proposal
Palpitation|word|nouns|palpitations|A fast, fluttering heartbeat.|धड़कन, घबराहट|دھڑکن|Dharkan|"My heart! I'm having a palpitation" — Lomov, mid-quarrel over the Oxen Meadows.|NCERT First Flight — The Proposal
Hemlock|word|nouns||A poisonous plant; a tree of the pine family.|हेमलॉक (एक ज़हरीला पौधा)|ہیملاک|Hemlock|"The way a crow shook down on me the dust of snow from a hemlock tree."|NCERT First Flight — Dust of Snow (poem)
Perish|word|verbs|perished;perishing|To die or be destroyed.|नष्ट होना|فنا ہونا|Fana hona|"Some say the world will end in fire… to say that for destruction ice is also great and would suffice."|NCERT First Flight — Fire and Ice (poem)
Suffice|word|verbs|sufficed;sufficient|To be enough.|पर्याप्त होना|کافی ہونا|Kaafi hona|Ice, says Frost, "would suffice" to end the world.|NCERT First Flight — Fire and Ice (poem)
Lurk|word|verbs|lurked;lurking|To wait hidden, often with bad intent.|घात लगाना|گھات لگانا|Ghaat lagana|The tiger should be lurking in the shadow, sliding through long grass — not pacing a cage.|NCERT First Flight — A Tiger in the Zoo (poem)
Hyena|word|nouns|hyenas|A dog-like animal known for its laughing cry.|लकड़बग्घा|لکڑبگھا|Lakarbagha|"If he laughs like a merry maid, he is the hyena."|NCERT First Flight — How to Tell Wild Animals (poem)
Epistle|word|nouns|epistles|A letter, especially a long or formal one.|पत्र|خط، مکتوب|Maktoob|"Nay, there's a deeper reason… a letter — an epistle — would not do" — Amanda's world of daydream.|NCERT First Flight — Amanda! (poem)
Moody|word|describing|moodily;moods|Prone to sudden changes of mood; sulky.|मूडी, चिड़चिड़ा|بدمزاج|Bad-mizaj|"Don't be moody, Amanda!" — the constant nagging the poem is built on.|NCERT First Flight — Amanda! (poem)
Realio|word|nouns||A made-up word, used with "trulio", meaning really and truly.|(गढ़ा गया शब्द — सचमुच)|(خود ساختہ لفظ — واقعی)|Realio|Custard the dragon "was a realio, trulio, little pet dragon".|NCERT First Flight — The Tale of Custard the Dragon (poem)
Despair|word|nouns|despaired;despairing|Complete loss of hope.|निराशा|مایوسی|Mayoosi|"Never shall a young man, thrown into despair by those great honey-coloured ramparts…"|NCERT First Flight — For Anne Gregory (poem)
# ── Class 10 · Footprints Without Feet ───────────────────────────────────
Bloated|word|describing|bloat|Swollen, especially from too much food or water.|फूला हुआ|پھولا ہوا|Phoola hua|Tricki the dog was bloated from too many treats — "like a bloated sausage".|NCERT Footprints — A Triumph of Surgery
Distraught|word|describing||Extremely worried and upset.|व्याकुल|پریشان حال|Pareshan-haal|Mrs Pumphrey was distraught when Herriot took Tricki to the surgery.|NCERT Footprints — A Triumph of Surgery
Convalescing|word|verbs|convalesce;convalescence|Recovering gradually after an illness.|स्वास्थ्य लाभ करना|صحت یاب ہونا|Sehat-yaab hona|Tricki was "convalescing" — really just running with the other dogs and eating nothing extra.|NCERT Footprints — A Triumph of Surgery
Flattered|word|verbs|flatter;flattering;flattery|Pleased by praise, sometimes insincere praise.|प्रशंसा से प्रसन्न|خوشامد سے خوش|Khushamad se khush|Anil was flattered when the thief said he wanted to work for him.|NCERT Footprints — The Thief's Story
Deserted|word|describing|desert;deserting|Empty of people; abandoned.|सुनसान|ویران|Veeran|The deserted road at midnight is where the thief, Hari Singh, stood with Anil's money.|NCERT Footprints — The Thief's Story
Wharf|word|nouns|wharves|A platform built on a shore for loading and unloading boats.|घाट|گھاٹ|Ghaat|Ausable's room had a view of the wharf — or so he told Max about the balcony.|NCERT Footprints — The Midnight Visitor
Espionage|word|nouns|spy;spying|The work of spying.|जासूसी|جاسوسی|Jasoosi|Ausable did not fit the picture of espionage that Fowler had read about in books.|NCERT Footprints — The Midnight Visitor
Passably|word|describing|passable|Reasonably well; well enough.|ठीक-ठाक|ٹھیک ٹھاک|Theek-thaak|Ausable spoke French and German passably, with an American accent.|NCERT Footprints — The Midnight Visitor
Burglar|word|nouns|burglary;burglars|A person who breaks into a building to steal.|सेंधमार, चोर|چور، نقب زن|Naqab-zan|Horace Danby was a burglar who robbed one safe a year, for rare books.|NCERT Footprints — A Question of Trust
Culprit|word|nouns|culprits|The person responsible for a crime or fault.|अपराधी|مجرم|Mujrim|The lady in red was the real culprit; Horace went to prison for her robbery.|NCERT Footprints — A Question of Trust
Sinister|word|describing||Seeming evil or threatening.|अशुभ, भयावह|منحوس|Manhoos|Griffin, the invisible scientist, was a lawless, sinister figure.|NCERT Footprints — Footprints without Feet
Solitary|word|describing|solitude|Alone; without companions.|एकाकी|تنہا|Tanha|Griffin chose a solitary life in the village inn — until his invisibility gave him away.|NCERT Footprints — Footprints without Feet
Curator|word|nouns|curators|A person in charge of a museum or collection.|संग्रहाध्यक्ष|منتظمِ عجائب گھر|Muntazim|Richard Ebright was helped by a curator who suggested the viceroy butterfly project.|NCERT Footprints — The Making of a Scientist
Monarch|word|nouns|monarchs|A butterfly with orange and black wings; also a king or queen.|मोनार्क तितली; सम्राट|مونارک تتلی; بادشاہ|Monarch|Ebright raised thousands of monarch butterflies and tagged them for the scientists.|NCERT Footprints — The Making of a Scientist
Fortnight|word|nouns|fortnights|Two weeks.|पखवाड़ा|پندرہ دن|Pandrah din|Matilda borrowed the necklace for one night and lost it — the couple searched for a fortnight.|NCERT Footprints — The Necklace
Usurer|word|nouns|usury;usurers|A person who lends money at very high interest.|सूदखोर|سود خور|Sood-khor|Loisel borrowed from usurers to buy a diamond necklace worth thirty-six thousand francs.|NCERT Footprints — The Necklace
Numaish|word|nouns||Exhibition; fair (from Urdu).|प्रदर्शनी, मेला|نمائش|Numaish|Bholi's father said the school was like a numaish where girls learned nothing.|NCERT Footprints — Bholi
Stammer|word|verbs|stammered;stammering|To speak with pauses and repeated sounds, from nerves or a speech difficulty.|हकलाना|ہکلانا|Haklana|Bholi stammered, and the children laughed — until the teacher's patience changed her.|NCERT Footprints — Bholi
Squiggle|word|nouns|squiggles|A short, twisting line or mark.|टेढ़ी-मेढ़ी लकीर|ٹیڑھی میڑھی لکیر|Terhi-merhi lakeer|The Martians thought the squiggles in the book were a code — it was only a nursery rhyme.|NCERT Footprints — The Book That Saved the Earth
# ── Class 11 · Hornbill ──────────────────────────────────────────────────
Absurd|word|describing|absurdity|Ridiculous; making no sense.|बेतुका|بے تکا|Be-tuka|The narrator found it absurd that his grandmother had once been young and pretty.|NCERT Hornbill — The Portrait of a Lady
Rosary|word|nouns|rosaries|A string of beads used for counting prayers.|माला|تسبیح|Tasbeeh|Grandmother's fingers were always busy telling the beads of her rosary.|NCERT Hornbill — The Portrait of a Lady
Seclusion|word|nouns|secluded|Being kept away from others; privacy.|एकांत|تنہائی|Tanhai|In the city, grandmother accepted her seclusion with the sparrows for company.|NCERT Hornbill — The Portrait of a Lady
Honing|word|verbs|hone;honed|Sharpening or improving a skill.|निखारना|نکھارنا|Nikharna|The family spent months honing their seafaring skills before the round-the-world voyage.|NCERT Hornbill — We're Not Afraid to Die
Ominous|word|describing|omen|Suggesting that something bad is going to happen.|अशुभ|منحوس|Manhoos|An ominous silence — the wind dropped, and then the wave the size of a cloud came.|NCERT Hornbill — We're Not Afraid to Die
Dinghy|word|nouns|dinghies|A small open boat.|छोटी नाव|چھوٹی کشتی|Chhoti kashti|They had to decide whether to abandon the Wavewalker for the dinghy.|NCERT Hornbill — We're Not Afraid to Die
Mummy|word|nouns|mummies;mummified|A body preserved by embalming, especially in ancient Egypt.|ममी|حنوط شدہ لاش|Hanoot-shuda laash|Tut's mummy was scanned in 2005 to learn how he died.|NCERT Hornbill — Discovering Tut
Resurrection|word|nouns|resurrect|Coming back to life after death.|पुनरुत्थान|قیامت، دوبارہ زندگی|Dobara zindagi|The Egyptians believed in resurrection, so the body had to be preserved.|NCERT Hornbill — Discovering Tut
Pallbearer|word|nouns|pallbearers|A person who helps carry a coffin at a funeral.|अर्थी उठाने वाला|جنازہ اٹھانے والا|Janaza uthane wala|Tut's body was carried like a pallbearer's burden into the CT scanner.|NCERT Hornbill — Discovering Tut
Delicacy|word|nouns|delicacies|Fine, careful skill; also a rare, fine food.|नज़ाकत; स्वादिष्ट व्यंजन|نزاکت|Nazakat|Wu Daozi's landscape had a delicacy the Emperor admired — and then it swallowed the painter.|NCERT Hornbill — Landscape of the Soul
Illusionistic|word|describing|illusion|Creating the appearance of reality, especially in art.|भ्रमपूर्ण यथार्थ का|فریبِ نظر پیدا کرنے والا|Fareb-e-nazar|European art is illusionistic; the Chinese painter wants you to enter the painting.|NCERT Hornbill — Landscape of the Soul
Sustainable|word|describing|sustainability|Able to continue without using up resources.|टिकाऊ|پائیدار|Paidar|The Ailing Planet argues for sustainable development that does not rob the future.|NCERT Hornbill — The Ailing Planet
