kind,title,aliases,summary,body,lane,scope,source_ref
component,Air filters,pre-filter; bag filter; HEPA filter,"Pre-filter plus fine filter as standard; HEPA for hospitals and clean areas. Classes now follow ISO 16890 (ePM10, ePM2.5, ePM1), which replaced EN 779 G/M/F classes.",Typical Gulf stack: ePM10 50 % (old G4) panel + ePM1 55–80 % (old F7–F9) bag or compact. Hospital: add H13/H14 HEPA to EN 1822. Sand and dust make filter pressure switches and generous filter face area non-negotiable.,airside,general,Manufacturer catalogues and Gulf specifications — verify against the current edition
component,Dampers,,"Opposed-blade aluminium dampers on fresh, return and exhaust; motorised for economiser or mixing control.","Leakage class to EN 1751 (class 3 or 4 specified); fire and smoke dampers in the ductwork answer to the Civil Defence, not to the AHU.",airside,general,Manufacturer catalogues and Gulf specifications — verify against the current edition
component,Drain pan,,"Collects condensate under the cooling coil. In the Gulf the coil is always wet, so the pan is sloped, insulated and stainless.","Stainless steel 304, double-sloped to the drain, trapped drain sized for negative fan pressure. Corroded or flat pans are the most common cause of AHU water damage.",airside,general,Manufacturer catalogues and Gulf specifications — verify against the current edition
component,UV-C section,,Germicidal lamps mounted downstream of the coil to keep the wet coil and drain pan biologically clean. Common in hospital and hospitality specifications.,,airside,general,Manufacturer catalogues and Gulf specifications — verify against the current edition
component,Sound attenuator,,Splitter silencers on supply or return to meet room NC levels. Often factory-fitted as an AHU section.,,airside,general,Manufacturer catalogues and Gulf specifications — verify against the current edition
component,AHU control panel,DDC; AHU controller,"The DDC controller, VFD and sensors — temperature, humidity, CO₂, filter DP — wired at the factory, talking BACnet or Modbus to the BMS.",Daikin ships its AHUs with or without Daikin Digital Control (up to 310 I/O); a factory-tested panel removes the site commissioning risk that a loose-supplied panel brings.,controls,general,Manufacturer catalogues and Gulf specifications — verify against the current edition
parameter,Airflow,,"The volume of air the unit moves, in m³/h or CFM. The first number on any schedule.","Daikin Professional reaches 144,000 m³/h; Modular P 20,000 m³/h; Compact L/T 3,450–4,200 m³/h.",airside,general,Manufacturer catalogues and Gulf specifications — verify against the current edition
parameter,External static pressure (ESP),ESP,"The pressure the fan must overcome outside the unit — ductwork, diffusers, filters downstream. Wrong ESP is the most common reason an installed AHU under-delivers.",,airside,general,Manufacturer catalogues and Gulf specifications — verify against the current edition
parameter,Casing leakage class,L1; L2,EN 1886 class L1 (tightest) to L3 for air leakage through the casing at −400 Pa and +700 Pa. Gulf specifications call L1 or L2.,,airside,general,Manufacturer catalogues and Gulf specifications — verify against the current edition
parameter,Casing deflection class,D1,EN 1886 class D1 to D3 for how far panels bow under pressure. D1 for hospitals and pressurised units.,,airside,general,Manufacturer catalogues and Gulf specifications — verify against the current edition
parameter,Thermal transmittance class,T2,EN 1886 class T1 to T5 for heat gain through the casing. T2 is the Gulf norm; T1 for very cold supply air.,,airside,general,Manufacturer catalogues and Gulf specifications — verify against the current edition
parameter,Thermal bridging class,TB2,EN 1886 class TB1 to TB5. Decides whether the outside of the casing sweats in Gulf humidity. Ask for TB2 or better.,,airside,general,Manufacturer catalogues and Gulf specifications — verify against the current edition
parameter,Filter bypass leakage class,,EN 1886 class F9 to F5 for air that sneaks around the filter frame. Matters more than filter class in a dusty climate.,,airside,general,Manufacturer catalogues and Gulf specifications — verify against the current edition
parameter,Specific fan power (SFP),SFP,"Fan power divided by airflow, W per l/s or kW per m³/s. Energy codes (ASHRAE 90.1, Dubai Green Building) cap it.",,airside,general,Manufacturer catalogues and Gulf specifications — verify against the current edition
parameter,Sound power level,Lw; sound power,"Noise radiated to the duct and to the plant room, in dB(A) per octave band. Selected with the attenuator, not after it.",,airside,general,Manufacturer catalogues and Gulf specifications — verify against the current edition
component,FCU fan and motor,EC motor; blower,"Forward-curved centrifugal blowers; EC (brushless DC) motors now, three-speed PSC motors before. EC is what makes an FCU pass an energy audit.","EC motor: 0–10 V or Modbus speed control, 50–70 % less power than PSC at part speed. Daikin concealed units run four usable speeds with self-diagnosis.",airside,general,Manufacturer catalogues and Gulf specifications — verify against the current edition
component,FCU coil,,"Copper-tube, aluminium-fin coil of 3 or 4 rows; 4 rows where district cooling supplies 5.5 °C water at a high ΔT, or where humidity control matters.","Rated to AHRI 440 / Eurovent at 45/55 °F (7/12 °C) entering/leaving water; a district-cooling site needs re-rating at its own temperatures, which most selection software can do.",waterside,general,Manufacturer catalogues and Gulf specifications — verify against the current edition
component,FCU drain pan,,"Insulated pan under the coil, with an auxiliary pan under the valve set. The single most common FCU call-back in the Gulf is a leaking or sweating pan.","Polypropylene or stainless, closed-cell insulation, sloped to the drain; condensate pump where gravity drain is impossible.",airside,general,Manufacturer catalogues and Gulf specifications — verify against the current edition
component,FCU filter,,"Washable nylon or aluminium mesh, G2–G3 class. Site dust means it is cleaned quarterly, so access is a design point.",,airside,general,Manufacturer catalogues and Gulf specifications — verify against the current edition
component,FCU casing,concealed ducted; cassette; exposed,"Galvanised steel, 10–20 mm internal insulation, with hanging brackets. Concealed ducted units are the Gulf norm; cassette and exposed units for retail and lobbies.",,airside,general,Manufacturer catalogues and Gulf specifications — verify against the current edition
component,FCU control valve,PICV; 2-way valve,"Two-way on/off or modulating valve on the return, or a pressure-independent control valve (PICV) where the chilled-water system is variable-flow.",Valveless units are offered where the valve is supplied separately; Daikin quotes both. PICVs are increasingly required by district-cooling providers to protect their ΔT.,waterside,general,Manufacturer catalogues and Gulf specifications — verify against the current edition
component,FCU thermostat / controller,,"Room thermostat with fan speed and setpoint, wired or wireless; BMS-connected units carry a Modbus or BACnet controller.",,controls,general,Manufacturer catalogues and Gulf specifications — verify against the current edition
parameter,Cooling capacity (total and sensible),sensible capacity; latent capacity,"Total capacity removes heat and moisture; sensible capacity is the part that lowers temperature. Gulf loads are latent-heavy, so both are checked.",,waterside,general,Manufacturer catalogues and Gulf specifications — verify against the current edition
parameter,FCU external static pressure,high static,What a ducted unit can push against. Standard 30–50 Pa; high-static 100–200 Pa for long duct runs in villas and hotel corridors.,,airside,general,Manufacturer catalogues and Gulf specifications — verify against the current edition
parameter,Chilled-water entering / leaving temperature,EWT; LWT; delta T,"The water the coil is rated at. Chiller sites: 6.7/12.2 °C (44/54 °F). District cooling: 5.5/14.5 °C or 5.5/16 °C, a much higher ΔT.",,waterside,general,Manufacturer catalogues and Gulf specifications — verify against the current edition
parameter,FCU sound level,,"NC or dB(A) at each fan speed, measured to ISO 3741. Bedrooms are usually held to NC 30–35 at medium speed.",,airside,general,Manufacturer catalogues and Gulf specifications — verify against the current edition
parameter,FCU power input,,Watts drawn at each speed. EC units are compared on this line; PSC units lose.,,airside,general,Manufacturer catalogues and Gulf specifications — verify against the current edition
component,Compressor,screw compressor; scroll compressor; inverter compressor,"The heart of the chiller. Air-cooled Gulf units use scroll (tandem/trio) up to about 200 TR, screw — fixed-speed or inverter — from 150 to 600+ TR, and oil-free magnetic-bearing centrifugal in premium ranges.","Inverter screw (Daikin EWAD-TZ, York YVAA) wins on part-load efficiency, which is how energy codes are met; fixed-speed screw wins on price. Scroll ranges (Daikin EWAT-B on R-32, York YLAA) cover the small end.",refrigeration,general,Manufacturer catalogues and Gulf specifications — verify against the current edition
component,Air-cooled condenser coil,MCHE; microchannel; condenser,Rejects heat to the outside air. Microchannel aluminium (MCHE) or round-tube plate-fin copper/aluminium. Coastal and industrial sites need a protective coating.,"MCHE: less refrigerant, lighter, but harder to repair and needs a proven coating (e-coat) near the sea. RTPF with epoxy or Blygold coating is the conservative Gulf choice. Sand loading argues for wider fin spacing and hinged coil guards for cleaning.",refrigeration,general,Manufacturer catalogues and Gulf specifications — verify against the current edition
component,Condenser fans,EC fans,"Axial fans, now EC or VFD-driven, that pull air across the condenser. Speed control is how the chiller holds head pressure at 20 °C and 50 °C alike.",,refrigeration,general,Manufacturer catalogues and Gulf specifications — verify against the current edition
component,Evaporator,flooded evaporator; BPHE,"Where refrigerant chills the water: shell-and-tube (flooded, falling-film or DX) on screw units, brazed-plate on scroll units.","Gulf specifications often ask for a fouling factor of 0.044 m²K/kW instead of the AHRI 0.0176, and for glycol only in process jobs; check the freeze protection logic when the plant sits idle in winter.",waterside,general,Manufacturer catalogues and Gulf specifications — verify against the current edition
component,Refrigerant,R-134a; R-513A; R-32; R-410A; R-454B; R-1234ze,The working fluid. R-134a and its lower-GWP drop-in R-513A on screw units; R-410A giving way to R-32 or R-454B on scroll units; R-1234ze on some oil-free ranges.,"GWP is not yet regulated in the UAE or KSA the way the EU F-gas rule does, but Kigali ratification and green-building credits make low-GWP a tender advantage. Safety classification to ASHRAE 34: R-32 and R-454B are A2L (mildly flammable), which affects plant-room and roof siting.",refrigeration,general,Manufacturer catalogues and Gulf specifications — verify against the current edition
component,Electronic expansion valve,EXV,Meters refrigerant into the evaporator; electronic control is what allows stable operation across the Gulf ambient swing.,,refrigeration,general,Manufacturer catalogues and Gulf specifications — verify against the current edition
component,Chiller control panel,MicroTech; BMS interface,"The unit controller (Daikin MicroTech, York Smart Connect / OptiView) with BACnet or Modbus to the BMS, plus VFDs, soft starters and phase protection.","Ask for: remote setpoint, demand limit, run hours per compressor, refrigerant leak alarm, and a cloud link (Daikin on Site, JCI Connected) where the operator wants it.",controls,general,Manufacturer catalogues and Gulf specifications — verify against the current edition
component,Integrated pump package,hydronic kit; pump kit,"Factory-mounted chilled-water pumps, expansion tank and strainer on the chiller frame. Saves a plant room on small sites; check redundancy.",,waterside,general,Manufacturer catalogues and Gulf specifications — verify against the current edition
component,Sound attenuation package,low noise; acoustic jacket,"Low-noise fans, compressor acoustic jackets, and night-mode fan limits. Needed wherever a chiller sits near residences.",,refrigeration,general,Manufacturer catalogues and Gulf specifications — verify against the current edition
component,High-ambient package,high ambient kit; 52 °C operation,"Larger condenser surface, uprated fans and motors, and control limits that keep the chiller online at 50–55 °C instead of tripping. Standard in KSA, common in UAE.",,refrigeration,general,Manufacturer catalogues and Gulf specifications — verify against the current edition
parameter,Cooling capacity at design ambient,TR; kW cooling,"The capacity the chiller delivers at the site ambient — 46 °C in most UAE specs, 46–50 °C in KSA — not the 35 °C AHRI rating. A chiller loses roughly 20–25 % between the two.",,refrigeration,general,Manufacturer catalogues and Gulf specifications — verify against the current edition
parameter,Full-load EER / COP,EER; COP,Cooling output over electrical input at full load and design conditions. The number tenders compare; energy codes set minimums.,,refrigeration,general,Manufacturer catalogues and Gulf specifications — verify against the current edition
parameter,Part-load efficiency (IPLV / ESEER),IPLV; ESEER; SEER,"A weighted average of efficiency at 100/75/50/25 % load. IPLV per AHRI 550/590, ESEER per Eurovent. This is where inverter and oil-free machines earn their price.",,refrigeration,general,Manufacturer catalogues and Gulf specifications — verify against the current edition
parameter,Ambient operating range,maximum ambient,"The outdoor temperature band the chiller runs in — up to 52 °C or 55 °C with a high-ambient package, and down to the winter minimum with head-pressure control.",,refrigeration,general,Manufacturer catalogues and Gulf specifications — verify against the current edition
parameter,Chilled-water temperatures and ΔT,LCHWT; ECHWT,Leaving and entering water: 6.7/12.2 °C (44/54 °F) is the AHRI default; Gulf specifications use it or 5.5/12.2 °C; larger ΔT lowers pump energy.,,waterside,general,Manufacturer catalogues and Gulf specifications — verify against the current edition
parameter,Power supply,50 Hz; 60 Hz; voltage,"UAE: 400 V, 3-phase, 50 Hz. KSA: 380 V, 3-phase, 60 Hz. The same model number is a different unit — motors, fans, VFDs and capacity all change with frequency.",,controls,general,Manufacturer catalogues and Gulf specifications — verify against the current edition
parameter,Chiller sound power,,"Sound power in dB(A) to ISO 9614 or ISO 3744, at full and part load. Night-time limits near residential plots are set by the municipality.",,airside,general,Manufacturer catalogues and Gulf specifications — verify against the current edition
parameter,Minimum turndown,,"The lowest stable load the chiller can hold before cycling — 10–15 % on inverter screw and oil-free units, higher on scroll. Matters for hotels at 3 a.m.",,airside,general,Manufacturer catalogues and Gulf specifications — verify against the current edition
standard,EN 1886,,"The European test for AHU casings: mechanical strength (D), air leakage (L), filter bypass (F), thermal transmittance (T) and thermal bridging (TB) — each a class.",The classes a Gulf specification quotes: D1 / L1 (or L2) / F9 / T2 / TB2. Eurovent-certified units publish these from third-party tests; unlisted units are claims.,reference,general,Manufacturer catalogues and Gulf specifications — verify against the current edition
standard,EN 13053,,Rating and performance of AHUs and their components as a whole — how the numbers on the datasheet are to be measured.,"The companion to EN 1886; together they are what ""Eurovent AHU certified"" means.",reference,general,Manufacturer catalogues and Gulf specifications — verify against the current edition
standard,Eurovent Certified Performance — AHU,Eurovent AHU,"Third-party certification of AHU casing classes and thermal/acoustic performance, with a public directory of certified ranges and software.",Widely specified in UAE and KSA because it lets a consultant check a claim without a test. Daikin Professional and Systemair Geniox are certified ranges; confirm each model size on the Eurovent directory.,reference,general,Manufacturer catalogues and Gulf specifications — verify against the current edition
standard,AHRI 410,,US rating standard for forced-circulation air-cooling and heating coils. The coil capacity on an AHU or FCU datasheet is stated to it.,,reference,general,Manufacturer catalogues and Gulf specifications — verify against the current edition
standard,AMCA 210 / ISO 5801,AMCA 210; ISO 5801,Laboratory methods for testing fans for aerodynamic performance. A fan curve is only a fan curve if it was taken to one of these.,AMCA-licensed fans carry the certified ratings seal; AMCA 300 covers sound.,reference,general,Manufacturer catalogues and Gulf specifications — verify against the current edition
standard,ISO 16890,EN 779; ePM1,"The current filter classification by particle size (ePM1, ePM2.5, ePM10, coarse), which replaced EN 779 G/M/F classes in 2018.","Specifications still written as G4 + F7 translate to roughly ePM10 50 % + ePM1 55 %. Ask the filter maker for the ISO 16890 rating, not a conversion.",reference,general,Manufacturer catalogues and Gulf specifications — verify against the current edition
standard,EN 1822,HEPA,"Classification and testing of HEPA and ULPA filters (H13, H14, U15…). Required for operating theatres, isolation rooms, pharma and clean rooms.",,reference,general,Manufacturer catalogues and Gulf specifications — verify against the current edition
standard,EN 1751,,"Air-terminal and damper leakage classes. A specification asking for ""class 3"" or ""class 4"" dampers means this standard.",,reference,general,Manufacturer catalogues and Gulf specifications — verify against the current edition
standard,EN 308,,"Test method for the effectiveness of air-to-air heat recovery devices — wheels, plates, run-around coils.",,reference,general,Manufacturer catalogues and Gulf specifications — verify against the current edition
standard,ASHRAE 62.1,ventilation rate,"Ventilation for acceptable indoor air quality: the fresh-air rates most Gulf codes adopt, which size the FAHU.",Dubai and Abu Dhabi building regulations reference it; hospitals use ASHRAE 170 instead.,reference,general,Manufacturer catalogues and Gulf specifications — verify against the current edition
standard,ASHRAE 90.1,,"The US energy standard for buildings, adopted or referenced by Gulf green-building regulations for fan power, chiller efficiency and economiser rules.",Chiller minimum efficiencies in Table 6.8.1 (path A / path B) are what Dubai and Estidama compliance tables are derived from.,reference,general,Manufacturer catalogues and Gulf specifications — verify against the current edition
standard,ASHRAE 170,,"Ventilation of health-care facilities: air changes, filtration and pressure relationships for hospitals. Drives HEPA and 100 % fresh-air AHUs in Gulf hospitals.",,reference,general,Manufacturer catalogues and Gulf specifications — verify against the current edition
standard,NFPA 90A,,"US fire-safety standard for air-conditioning and ventilating systems: smoke detectors, fire dampers, duct materials. Adopted by Gulf civil-defence codes.",The UAE Fire and Life Safety Code and Saudi Civil Defence both lean on it for duct smoke detection and damper placement.,reference,general,Manufacturer catalogues and Gulf specifications — verify against the current edition
standard,UL 1995 / EN 60335-2-40,UL 1995; EN 60335-2-40; IEC 60335-2-40,"Product safety standards for heating and cooling equipment (UL, US) and for electrical heat pumps, air conditioners and dehumidifiers (IEC/EN). A unit sold in the Gulf is listed to one or both.",,reference,general,Manufacturer catalogues and Gulf specifications — verify against the current edition
standard,VDI 6022 / DIN 1946-4,hygienic AHU,"German hygiene standards for AHUs (VDI 6022) and hospital ventilation (DIN 1946-4). ""Hygienic AHU"" in a Gulf hospital tender means built and certified to these.",,reference,general,Manufacturer catalogues and Gulf specifications — verify against the current edition
standard,AHRI 440,,"US rating standard for room fan-coil units: capacity, airflow and power at 45/55 °F water. FCU datasheets quote it.",,reference,general,Manufacturer catalogues and Gulf specifications — verify against the current edition
standard,Eurovent Certified Performance — Fan coil units,Eurovent FCU; EN 1397,"Third-party certification of fan-coil capacity, airflow, power and sound, tested to EN 1397. The Gulf consultant's check on an FCU claim.","Certified data is published for standard water temperatures; district-cooling temperatures need the manufacturer's software, which Eurovent also certifies.",reference,general,Manufacturer catalogues and Gulf specifications — verify against the current edition
standard,ISO 3741,,Determination of sound power in a reverberation room. FCU and small-unit sound data is taken to it.,,reference,general,Manufacturer catalogues and Gulf specifications — verify against the current edition
standard,AHRI 550/590,AHRI 550; AHRI 590; AHRI 551/591; IPLV,"US rating standard for water-chilling packages: full-load EER/kW per ton and IPLV at AHRI conditions (35 °C ambient, 44/54 °F water). The universal tender baseline; the Gulf then re-rates at 46 °C.","AHRI 551/591 is the SI version. ""AHRI certified"" means the manufacturer's selection software has passed the AHRI verification programme.",reference,general,Manufacturer catalogues and Gulf specifications — verify against the current edition
standard,Eurovent Certified Performance — Chillers (LCP-HP),Eurovent chiller; EN 14511; EN 14825; ESEER,"Third-party certification of chiller capacity, EER, ESEER/SEER and sound, tested to EN 14511 and EN 14825 — and to SASO 2874 for KSA.","Eurovent explicitly lists SASO 2874 among its chiller test standards, which is why a Eurovent-certified chiller is the smooth route to Saudi registration.",reference,general,Manufacturer catalogues and Gulf specifications — verify against the current edition
standard,SASO 2874,SASO 2874/2016; SLS; SEEC,"Saudi standard for the minimum energy performance of large-capacity air conditioners, including chillers, above the SASO 2663 ceiling of 70,000 Btu/h. Registration on the Saudi Label & Standard (SLS) portal is required to ship.","Enforced through SASO / SEEC; the energy label and registration are checked at customs. The unit must be tested at Saudi conditions and registered before the first shipment, so build the lead time into the project.",reference,general,Manufacturer catalogues and Gulf specifications — verify against the current edition
standard,SASO 2663,SASO 2663/2014,"Saudi energy-efficiency standard for air conditioners up to 70,000 Btu/h (about 20 kW): minimum EER, now moving to a seasonal (SEER) rating. Covers small split and packaged units, not FCUs or chillers.",,reference,general,Manufacturer catalogues and Gulf specifications — verify against the current edition
standard,UAE.S 5010 (ESMA / MoIAT),ESMA; MoIAT; ECAS,"The UAE energy-efficiency standards and labels for air conditioners, enforced through the ECAS certificate of conformity by ESMA (now within MoIAT). Higher minimum EERs took effect 1 January 2021.",Applies to packaged and split air conditioners placed on the UAE market; chillers and AHUs are handled through project specifications and the Dubai / Abu Dhabi green-building regulations rather than a consumer label. Verify the current part and edition with MoIAT.,reference,general,Manufacturer catalogues and Gulf specifications — verify against the current edition
standard,ASHRAE 15 / ASHRAE 34,ASHRAE 15; ASHRAE 34; A2L,Refrigerant safety (15) and refrigerant designation and safety classification (34). Together they decide where an A2L refrigerant chiller may sit and what leak detection it needs.,,reference,general,Manufacturer catalogues and Gulf specifications — verify against the current edition
standard,ISO 9614 / ISO 3744,,Sound-power determination by intensity (9614) or sound pressure in a free field (3744). Chiller sound data is taken to one of these; the number is not comparable across the two.,,reference,general,Manufacturer catalogues and Gulf specifications — verify against the current edition
standard,Dubai Green Building Regulations (Al Sa'fat),Al Safat; Dubai Municipality; DEWA,"Dubai Municipality's mandatory green-building code: minimum chiller efficiencies at Dubai conditions, fan-power limits, ventilation and metering. Al Sa'fat is the rating system layered on it.",Chiller efficiency is checked at 46 °C ambient; expect a schedule that quotes both full-load and IPLV at that ambient. DEWA approval and Dubai Municipality NOC follow the same tables.,reference,general,Manufacturer catalogues and Gulf specifications — verify against the current edition
standard,Estidama Pearl Rating System,Estidama; Pearl 1; Pearl 2,"Abu Dhabi's mandatory sustainability rating; Pearl 1 minimum for all buildings, Pearl 2 for government. Sets HVAC efficiency and commissioning requirements for the emirate.",,reference,general,Manufacturer catalogues and Gulf specifications — verify against the current edition
standard,Saudi Building Code — SBC 501 / SBC 601,SBC 501; SBC 601; Mostadam,"The Kingdom's mechanical code (SBC 501, based on the IMC) and energy-conservation code (SBC 601, based on the IECC), mandatory for permits since 2021.",SBC 601 chiller and fan-power minimums are what the Saudi consultant checks; Mostadam is the voluntary rating above them.,reference,general,Manufacturer catalogues and Gulf specifications — verify against the current edition
standard,Saudi Aramco SAES-K series,SAES-K; Aramco,"Aramco's engineering standards for HVAC (SAES-K-001 and following), applied on Aramco and many Saudi industrial sites: 50 °C+ design ambient, corrosion protection, and vendor qualification.",,reference,general,Manufacturer catalogues and Gulf specifications — verify against the current edition
equipment,Daikin D-AHU Professional,D-AHU Professional; Daikin Professional AHU,"Daikin's customised AHU range: up to 144,000 m³/h, any dimension, with or without factory controls, chilled water or DX (VRV / ERA), R-32-compatible coils, hygienic and ATEX options.","Sold across Daikin Middle East (Dubai, Riyadh); Eurovent-certified sizes; factory-fitted Daikin Digital Control with up to 310 I/O and BMS integration through Intelligent Touch Manager.",equipment,general,"Manufacturer website / catalogue, 2025–26 — verify model, size range and certification against the current edition"
equipment,Daikin D-AHU Modular P / Modular R,Modular P; Modular R; D-AHU Modular,"Daikin's modular ventilation units: Modular P (counter-flow plate heat exchanger, up to 20,000 m³/h, 10 sizes) and Modular R (rotary heat-recovery wheel). Indoor or outdoor, DX or water coils, controls optional.","The usual pick for a Gulf FAHU below 20,000 m³/h where heat recovery is required by the energy code.",equipment,general,"Manufacturer website / catalogue, 2025–26 — verify model, size range and certification against the current edition"
equipment,Daikin D-AHU Compact L / Compact T,Compact L; Compact T,"Small factory-configured AHUs: Compact L ceiling-suspended (up to 3,450 m³/h) and Compact T floor-mounted top-discharge (up to 4,200 m³/h), six sizes, counter-flow heat exchanger up to 92 % efficient, DX (R-410A / R-32), water or electric coils.",,equipment,general,"Manufacturer website / catalogue, 2025–26 — verify model, size range and certification against the current edition"
equipment,York (Johnson Controls) custom air handling units,York AHU; JCI AHU; Johnson Controls AHU,"JCI's custom-built AHU offering for the Middle East, sold through Johnson Controls Arabia (KSA) and JCI UAE: double-skin, Eurovent-listed constructions, with York or third-party controls.",Confirm the current range name and certified sizes with JCI Middle East; the Solution and Solution XT platforms are the North American names and are not always what the Gulf factory ships.,equipment,general,"Manufacturer website / catalogue, 2025–26 — verify model, size range and certification against the current edition"
equipment,Systemair Geniox,Geniox; Systemair AHU; Danvent DV; Topvex,"Systemair's modular AHU platform: Eurovent-certified, plug-fan and EC options, rotary and plate heat recovery, indoor and outdoor versions, supplied to the Gulf from European and regional factories.",Systemair also lists the DV (Danvent) and Topvex compact ranges; Geniox is the one most often offered against Daikin Professional in UAE tenders.,equipment,general,"Manufacturer website / catalogue, 2025–26 — verify model, size range and certification against the current edition"
equipment,Daikin concealed ceiling fan coil units (DMEA range),Daikin FCU; Daikin fan coil,"Daikin Middle East's ducted FCUs: high external static, four usable fan speeds, left/right piping, double-protection drainage, valve or valveless, wired or wireless controller, self-diagnosis, NIM-able.",Selected in Daikin's FCU selection software at project water temperatures; Eurovent-certified data for the standard conditions.,equipment,general,"Manufacturer website / catalogue, 2025–26 — verify model, size range and certification against the current edition"
equipment,York (Johnson Controls) fan coil units,York FCU; JCI FCU,"JCI's FCU range for the Gulf — concealed ducted, cassette and exposed — sold alongside York chillers to give a single-vendor hydronic system.",Confirm the current model designations and Eurovent listing with JCI Middle East.,equipment,general,"Manufacturer website / catalogue, 2025–26 — verify model, size range and certification against the current edition"
equipment,Systemair fan coil units,Systemair FCU,"Systemair's FCU range for the region, offered with EC motors and Eurovent-certified performance, usually packaged with Geniox AHUs and Systemair chillers.",Confirm the current range name with Systemair Middle East (Dubai).,equipment,general,"Manufacturer website / catalogue, 2025–26 — verify model, size range and certification against the current edition"
