kind,title,aliases,summary,body,lane,scope,source_ref
word,Slapdash,लापरवाही से किया गया; بے پروا، سرسری; Be-parwa,Done hurriedly and carelessly.,"लापरवाही से किया गया · بے پروا، سرسری (Be-parwa)

**In use**

- Harris and George packed the hamper in a slapdash way, breaking a cup and crushing a tomato.

*From NCERT Beehive — Packing.*",describing,general,NCERT Beehive — Packing
word,Uncanny,"uncannily; रहस्यमय, विचित्र; پراسرار; Pur-asrar",Strange or mysterious in an unsettling way.,"रहस्यमय, विचित्र · پراسرار (Pur-asrar)

**In use**

- Montmorency had an uncanny knack of getting in the way of whatever was being packed.

*From NCERT Beehive — Packing.*",describing,general,NCERT Beehive — Packing
word,Rummage,rummaged; rummaging; उलट-पलट कर ढूँढना; الٹ پلٹ کر ڈھونڈنا; Ulat-palat kar dhoondna,To search untidily through a pile of things.,"उलट-पलट कर ढूँढना · الٹ پلٹ کر ڈھونڈنا (Ulat-palat kar dhoondna)

**In use**

- They rummaged through everything to find the butter, which was on the chair George had sat on.

*From NCERT Beehive — Packing.*",verbs,general,NCERT Beehive — Packing
word,Grit,"gritty; साहस, दृढ़ता; حوصلہ; Hausla",Courage and determination that keep you going through difficulty.,"साहस, दृढ़ता · حوصلہ (Hausla)

**In use**

- Santosh Yadav's grit took her to the top of Everest — twice.

*From NCERT Beehive — Reach for the Top.*",nouns,general,NCERT Beehive — Reach for the Top
word,Contemporaries,contemporary; समकालीन; ہم عصر; Hum-asr,People of about the same age or living at the same time.,"समकालीन · ہم عصر (Hum-asr)

**In use**

- Unlike her contemporaries, Santosh was not content with the life set out for a village girl.

*From NCERT Beehive — Reach for the Top.*",nouns,general,NCERT Beehive — Reach for the Top
word,Wistful,wistfully; उदास लालसा भरा; حسرت بھرا; Hasrat-bhara,Sadly longing for something; full of quiet regret.,"उदास लालसा भरा · حسرت بھرا (Hasrat-bhara)

**In use**

- Bruno was not wistful when he was sent to the zoo — but the narrator's wife certainly was.

*From NCERT Beehive — The Bond of Love.*",describing,general,NCERT Beehive — The Bond of Love
word,Squat,squatted; squatting; उकड़ूँ बैठना; اکڑوں بیٹھنا; Ukroon baithna,To sit low with knees bent and heels close to the body.,"उकड़ूँ बैठना · اکڑوں بیٹھنا (Ukroon baithna)

**In use**

- Bruno would squat on his haunches and wait for the sugarcane and chapatis.

*From NCERT Beehive — The Bond of Love.*",verbs,general,NCERT Beehive — The Bond of Love
word,Fervent,"fervently; उत्साही, तीव्र; پرجوش; Pur-josh",Showing strong and sincere feeling.,"उत्साही, तीव्र · پرجوش (Pur-josh)

**In use**

- In Kathmandu, fervent worshippers press towards the shrine at Pashupatinath.

*From NCERT Beehive — Kathmandu.*",describing,general,NCERT Beehive — Kathmandu
word,Haggle,haggled; haggling; मोलभाव करना; بھاؤ تاؤ کرنا; Bhao-tao karna,To argue about a price before agreeing.,"मोलभाव करना · بھاؤ تاؤ کرنا (Bhao-tao karna)

**In use**

- Vikram Seth haggles with the flute seller, who watches with none of the pushy trader's manner.

*From NCERT Beehive — Kathmandu.*",verbs,general,NCERT Beehive — Kathmandu
word,Intruder,intrude; intrusion; घुसपैठिया; گھس بیٹھیا; Ghus-baithiya,Someone who enters a place where they are not wanted or allowed.,"घुसपैठिया · گھس بیٹھیا (Ghus-baithiya)

**In use**

- Gerrard faces the intruder calmly, and by the end has him locked in the cupboard.

*From NCERT Beehive — If I Were You.*",nouns,general,NCERT Beehive — If I Were You
word,Nonchalant,nonchalantly; बेपरवाह; بے پروا; Be-parwa,"Calm and unconcerned, especially when others would be worried.","बेपरवाह · بے پروا (Be-parwa)

**In use**

- Gerrard's nonchalant manner while a gun points at him is what wins the scene.

*From NCERT Beehive — If I Were You.*",describing,general,NCERT Beehive — If I Were You
word,Diverge,"diverged; diverging; अलग होना, बँटना; جدا ہونا; Juda hona",To split and go in different directions.,"अलग होना, बँटना · جدا ہونا (Juda hona)

**In use**

- ""Two roads diverged in a yellow wood"" — Frost's speaker must choose one.

*From NCERT Beehive — The Road Not Taken (poem).*",verbs,general,NCERT Beehive — The Road Not Taken (poem)
word,Undergrowth,झाड़-झंखाड़; جھاڑیاں; Jhariyan,Low bushes and plants growing under trees.,"झाड़-झंखाड़ · جھاڑیاں (Jhariyan)

**In use**

- He looked down one road as far as he could, to where it bent in the undergrowth.

*From NCERT Beehive — The Road Not Taken (poem).*",nouns,general,NCERT Beehive — The Road Not Taken (poem)
word,Crumbling,"crumble; crumbled; टूटता हुआ, ढहता हुआ; ٹوٹتا ہوا; Tootta hua",Breaking into small pieces; falling apart.,"टूटता हुआ, ढहता हुआ · ٹوٹتا ہوا (Tootta hua)

**In use**

- The wind winnows and crushes crumbling doors, weak houses and weak hearts.

*From NCERT Beehive — Wind (poem).*",describing,general,NCERT Beehive — Wind (poem)
word,Winnow,"winnowed; winnowing; ओसाना, फटकना; پھٹکنا; Phatakna",To separate grain from chaff by throwing it in the wind; to sift.,"ओसाना, फटकना · پھٹکنا (Phatakna)

**In use**

- ""He winnows and crushes them all"" — the wind sorts the weak from the strong.

*From NCERT Beehive — Wind (poem).*",verbs,general,NCERT Beehive — Wind (poem)
word,Glimmer,glimmers; glimmering; टिमटिमाहट; ٹمٹماہٹ; Timtimahat,"A faint, unsteady light.","टिमटिमाहट · ٹمٹماہٹ (Timtimahat)

**In use**

- Wattles made, and a hive for the honey bee, with a glimmer of midnight in the lake.

*From NCERT Beehive — The Lake Isle of Innisfree (poem).*",nouns,general,NCERT Beehive — The Lake Isle of Innisfree (poem)
word,Aroma,aromatic; सुगंध; خوشبو; Khushboo,"A pleasant, distinctive smell.","सुगंध · خوشبو (Khushboo)

**In use**

- The old woman baking cakes, the aroma reaching the door where Saint Peter begged.

*From NCERT Beehive — A Legend of the Northland (poem).*",nouns,general,NCERT Beehive — A Legend of the Northland (poem)
word,Defile,defiled; defiling; अपवित्र करना; ناپاک کرنا; Napaak karna,To spoil or make dirty something that should be respected.,"अपवित्र करना · ناپاک کرنا (Napaak karna)

**In use**

- ""It is the human earth that we defile"" — Kirkup on war.

*From NCERT Beehive — No Men Are Foreign (poem).*",verbs,general,NCERT Beehive — No Men Are Foreign (poem)
word,Hack,"hacked; hacking; काटना, कुल्हाड़ी चलाना; کاٹنا; Kaatna",To cut roughly with heavy blows.,"काटना, कुल्हाड़ी चलाना · کاٹنا (Kaatna)

**In use**

- ""So hack and chop, but this alone won't do it"" — a tree survives being cut.

*From NCERT Beehive — On Killing a Tree (poem).*",verbs,general,NCERT Beehive — On Killing a Tree (poem)
word,Mound,"mounds; टीला, ढेर; ٹیلہ; Teela",A heap or small hill of earth or things.,"टीला, ढेर · ٹیلہ (Teela)

**In use**

- The lost child was lifted from the mound of crushed feet in the crowd by a stranger.

*From NCERT Moments — The Lost Child.*",nouns,general,NCERT Moments — The Lost Child
word,Congested,congestion; भीड़भाड़ वाला; ہجوم زدہ; Hujoom-zada,Overcrowded; too full to move freely.,"भीड़भाड़ वाला · ہجوم زدہ (Hujoom-zada)

**In use**

- The fair was congested; the child was swept from his parents in the crush.

*From NCERT Moments — The Lost Child.*",describing,general,NCERT Moments — The Lost Child
word,Mischievous,mischief; mischievously; शरारती; شرارتی; Shararti,Fond of playful trouble; naughty in a lively way.,"शरारती · شرارتی (Shararti)

**In use**

- Toto was a mischievous monkey who tore Grandfather's wallpaper and terrified the goat.

*From NCERT Moments — The Adventures of Toto.*",describing,general,NCERT Moments — The Adventures of Toto
word,Scamper,scampered; scampering; तेज़ी से भागना; دوڑ لگانا; Daur lagana,"To run quickly with small, light steps.","तेज़ी से भागना · دوڑ لگانا (Daur lagana)

**In use**

- Toto scampered up the curtains whenever Grandmother came near.

*From NCERT Moments — The Adventures of Toto.*",verbs,general,NCERT Moments — The Adventures of Toto
word,Yarn,yarns; लंबी मनगढ़ंत कहानी; لمبی کہانی; Lambi kahani,"A long, improbable story told for entertainment.","लंबी मनगढ़ंत कहानी · لمبی کہانی (Lambi kahani)

**In use**

- Iswaran could weave a yarn out of the smallest incident — a fallen tree became a bulldozing elephant.

*From NCERT Moments — Iswaran the Storyteller.*",nouns,general,NCERT Moments — Iswaran the Storyteller
word,Bulldozer,bulldozing; बुलडोज़र; بلڈوزر; Bulldozer,A heavy machine with a wide blade for pushing earth.,"बुलडोज़र · بلڈوزر (Bulldozer)

**In use**

- The elephant, in Iswaran's telling, went through the school gate like a bulldozer.

*From NCERT Moments — Iswaran the Storyteller.*",nouns,general,NCERT Moments — Iswaran the Storyteller
word,Guru,gurus; गुरु; گرو; Guru,A spiritual teacher or wise guide.,"गुरु · گرو (Guru)

**In use**

- The guru and his disciple came to the kingdom of fools, where everything cost a duddu.

*From NCERT Moments — In the Kingdom of Fools.*",nouns,general,NCERT Moments — In the Kingdom of Fools
word,Disciple,disciples; शिष्य; شاگرد; Shagird,"A follower of a teacher, leader or set of beliefs.","शिष्य · شاگرد (Shagird)

**In use**

- The disciple grew fat on cheap food and would not leave the kingdom of fools.

*From NCERT Moments — In the Kingdom of Fools.*",nouns,general,NCERT Moments — In the Kingdom of Fools
word,Mausoleum,mausoleums; मकबरा; مقبرہ; Maqbara,A grand building that holds a tomb.,"मकबरा · مقبرہ (Maqbara)

**In use**

- The Happy Prince's statue was later melted down; his leaden heart would not melt.

*From NCERT Moments — The Happy Prince.*",nouns,general,NCERT Moments — The Happy Prince
word,Garret,garrets; अटारी; اٹاری; Atari,"A small room at the very top of a house, under the roof.","अटारी · اٹاری (Atari)

**In use**

- The young playwright in his garret was too cold and hungry to finish his play.

*From NCERT Moments — The Happy Prince.*",nouns,general,NCERT Moments — The Happy Prince
word,Devastate,devastated; devastating; devastation; तबाह करना; تباہ کرنا; Tabah karna,To destroy completely; to overwhelm with shock.,"तबाह करना · تباہ کرنا (Tabah karna)

**In use**

- The super-cyclone devastated Ersama in October 1999.

*From NCERT Moments — Weathering the Storm in Ersama.*",verbs,general,NCERT Moments — Weathering the Storm in Ersama
word,Debris,मलबा; ملبہ; Malba,Scattered broken pieces left after something is destroyed.,"मलबा · ملبہ (Malba)

**In use**

- Prashant waded through debris and floating bodies to reach his village.

*From NCERT Moments — Weathering the Storm in Ersama.*",nouns,general,NCERT Moments — Weathering the Storm in Ersama
word,Sanctuary,sanctuaries; शरण स्थल; پناہ گاہ; Panah-gah,A safe place; a place of protection.,"शरण स्थल · پناہ گاہ (Panah-gah)

**In use**

- The Red Cross shelter became a sanctuary for hundreds of survivors.

*From NCERT Moments — Weathering the Storm in Ersama.*",nouns,general,NCERT Moments — Weathering the Storm in Ersama
word,Pneumonia,निमोनिया; نمونیا; Pneumonia,A serious infection of the lungs.,"निमोनिया · نمونیا (Pneumonia)

**In use**

- Johnsy lay ill with pneumonia, counting the ivy leaves outside her window.

*From NCERT Moments — The Last Leaf.*",nouns,general,NCERT Moments — The Last Leaf
word,Masterpiece,masterpieces; उत्कृष्ट कृति; شاہکار; Shahkar,A person's best and greatest piece of work.,"उत्कृष्ट कृति · شاہکار (Shahkar)

**In use**

- Behrman's masterpiece was the last leaf, painted on the wall the night the real one fell.

*From NCERT Moments — The Last Leaf.*",nouns,general,NCERT Moments — The Last Leaf
word,Awkward,"awkwardly; awkwardness; असहज, अटपटा; بے تکا، شرمندہ; Be-tuka","Uncomfortable, embarrassed or clumsy.","असहज, अटपटा · بے تکا، شرمندہ (Be-tuka)

**In use**

- Zan felt awkward in the new school, an outsider whose house had just burned down.

*From NCERT Moments — A House Is Not a Home.*",describing,general,NCERT Moments — A House Is Not a Home
word,Ordeal,ordeals; कठिन परीक्षा; کڑی آزمائش; Kari aazmaish,A painful or difficult experience that lasts a while.,"कठिन परीक्षा · کڑی آزمائش (Kari aazmaish)

**In use**

- The fire, the lost cat, the new school — an ordeal that ended with a kitten and new friends.

*From NCERT Moments — A House Is Not a Home.*",nouns,general,NCERT Moments — A House Is Not a Home
word,Bumbling,"bumble; bumbler; अनाड़ीपन से, लड़खड़ाता; اناڑی; Anari","Acting in a confused, clumsy way.","अनाड़ीपन से, लड़खड़ाता · اناڑی (Anari)

**In use**

- Bill Bryson calls himself a bumbling traveller who spills, drops and loses things.

*From NCERT Moments — The Accidental Tourist.*",describing,general,NCERT Moments — The Accidental Tourist
word,Catastrophe,"catastrophes; catastrophic; विपत्ति, महाविनाश; تباہی; Tabahi",A sudden disaster.,"विपत्ति, महाविनाश · تباہی (Tabahi)

**In use**

- Bryson's attempt to open a bag of nuts on a plane ends in catastrophe — nuts everywhere.

*From NCERT Moments — The Accidental Tourist.*",nouns,general,NCERT Moments — The Accidental Tourist
word,Kopeck,kopecks; कोपेक (रूसी सिक्का); کوپیک; Kopeck,"A small Russian coin, one hundredth of a rouble.","कोपेक (रूसी सिक्का) · کوپیک (Kopeck)

**In use**

- The beggar asked for a kopeck; Sergei offered him work chopping wood instead.

*From NCERT Moments — The Beggar.*",nouns,general,NCERT Moments — The Beggar
word,Slander,"slandered; slanderous; मानहानि, झूठा आरोप; بہتان; Bohtan",A false spoken statement that damages a person's reputation.,"मानहानि, झूठा आरोप · بہتان (Bohtan)

**In use**

- Lushkoff had lost his job through slander, or so he claimed on the street.

*From NCERT Moments — The Beggar.*",nouns,general,NCERT Moments — The Beggar
word,Hailstones,hail; hailstone; ओले; اولے; Olay,Small balls of ice that fall like rain.,"ओले · اولے (Olay)

**In use**

- Hailstones the size of silver coins destroyed Lencho's corn.

*From NCERT First Flight — A Letter to God.*",nouns,general,NCERT First Flight — A Letter to God
word,Amiable,amiably; मिलनसार; خوش مزاج; Khush-mizaj,Friendly and pleasant.,"मिलनसार · خوش مزاج (Khush-mizaj)

**In use**

- The postmaster, a fat, amiable fellow, decided to answer Lencho's letter himself.

*From NCERT First Flight — A Letter to God.*",describing,general,NCERT First Flight — A Letter to God
word,Resolution,resolutions; resolve; संकल्प; عزم; Azm,A firm decision; also the settling of a problem.,"संकल्प · عزم (Azm)

**In use**

- Lencho's resolution to write to God shows a faith the postmaster could not laugh at.

*From NCERT First Flight — A Letter to God.*",nouns,general,NCERT First Flight — A Letter to God
word,Emancipation,emancipate; emancipated; मुक्ति; آزادی، رہائی; Rihai,"Being set free from control, especially slavery or oppression.","मुक्ति · آزادی، رہائی (Rihai)

**In use**

- Mandela speaks of the country's emancipation from apartheid.

*From NCERT First Flight — Nelson Mandela: Long Walk to Freedom.*",nouns,general,NCERT First Flight — Nelson Mandela: Long Walk to Freedom
word,Apartheid,रंगभेद; نسلی امتیاز; Nasli imtiaz,The former South African system of racial separation and white rule.,"रंगभेद · نسلی امتیاز (Nasli imtiaz)

**In use**

- Apartheid created one of the harshest, most inhumane societies the world has known.

*From NCERT First Flight — Nelson Mandela: Long Walk to Freedom.*",nouns,general,NCERT First Flight — Nelson Mandela: Long Walk to Freedom
word,Inclination,inclined; झुकाव; رجحان; Rujhan,A natural tendency or leaning towards something.,"झुकाव · رجحان (Rujhan)

**In use**

- Mandela's inclination towards freedom was born in the moment he saw his own was taken.

*From NCERT First Flight — Nelson Mandela: Long Walk to Freedom.*",nouns,general,NCERT First Flight — Nelson Mandela: Long Walk to Freedom
word,Transitory,क्षणिक; عارضی; Aarzi,Lasting only a short time.,"क्षणिक · عارضی (Aarzi)

**In use**

- The boyhood freedoms Mandela remembers were transitory.

*From NCERT First Flight — Nelson Mandela: Long Walk to Freedom.*",describing,general,NCERT First Flight — Nelson Mandela: Long Walk to Freedom
word,Plunge,"plunged; plunging; छलांग लगाना, गिरना; غوطہ لگانا; Ghota lagana",To fall or dive suddenly and steeply.,"छलांग लगाना, गिरना · غوطہ لگانا (Ghota lagana)

**In use**

- The young seagull plunged from the ledge and found his wings held him.

*From NCERT First Flight — Two Stories about Flying.*",verbs,general,NCERT First Flight — Two Stories about Flying
word,Devour,"devoured; devouring; निगल जाना, भकोसना; ہڑپ کرنا; Harap karna",To eat greedily and fast.,"निगल जाना, भकोसना · ہڑپ کرنا (Harap karna)

**In use**

- The seagull devoured the fish his mother dropped at last.

*From NCERT First Flight — Two Stories about Flying.*",verbs,general,NCERT First Flight — Two Stories about Flying
word,Ecstatic,ecstasy; आनंदविभोर; بے حد خوش; Be-had khush,Wildly happy.,"आनंदविभोर · بے حد خوش (Be-had khush)

**In use**

- Anne says she is ecstatic when she can finally write freely in her diary.

*From NCERT First Flight — From the Diary of Anne Frank.*",describing,general,NCERT First Flight — From the Diary of Anne Frank
word,Chatterbox,chatterboxes; बातूनी; باتونی; Baatooni,Someone who talks a great deal.,"बातूनी · باتونی (Baatooni)

**In use**

- Mr Keesing set Anne an essay titled ""A Chatterbox"" as punishment for talking.

*From NCERT First Flight — From the Diary of Anne Frank.*",nouns,general,NCERT First Flight — From the Diary of Anne Frank
word,Ramble,rambled; rambling; बिना सिर-पैर बोलना; بے ربط بولنا; Be-rabt bolna,To talk or write at length without a clear point; also to wander.,"बिना सिर-पैर बोलना · بے ربط بولنا (Be-rabt bolna)

**In use**

- Anne's essay rambled on purpose, and her teacher laughed.

*From NCERT First Flight — From the Diary of Anne Frank.*",verbs,general,NCERT First Flight — From the Diary of Anne Frank
word,Coorgi,Coorg; Kodava; कुर्ग निवासी; کورگ کا باشندہ; Coorg ka bashinda,A person from Coorg (Kodagu) in Karnataka.,"कुर्ग निवासी · کورگ کا باشندہ (Coorg ka bashinda)

**In use**

- The Coorgi people are said to descend from Greeks or Arabs; the men are fiercely independent.

*From NCERT First Flight — Glimpses of India.*",nouns,general,NCERT First Flight — Glimpses of India
word,Loaves,loaf; पावरोटियाँ; ڈبل روٹیاں; Double rotiyan,Plural of loaf — a shaped mass of baked bread.,"पावरोटियाँ · ڈبل روٹیاں (Double rotiyan)

**In use**

- The Goan baker's loaves were counted out to the children who followed his bamboo staff.

*From NCERT First Flight — Glimpses of India.*",nouns,general,NCERT First Flight — Glimpses of India
word,Monotonous,monotony; नीरस; یکسانیت بھرا، اکتا دینے والا; Yaksaniyat-bhara,"Dull and repetitive, always the same.","नीरस · یکسانیت بھرا، اکتا دینے والا (Yaksaniyat-bhara)

**In use**

- Assam's tea pickers moved through the monotonous green in the afternoon light.

*From NCERT First Flight — Glimpses of India.*",describing,general,NCERT First Flight — Glimpses of India
word,Otter,otters; ऊदबिलाव; اودبلاؤ; Udbilao,"A playful, fish-eating mammal that lives near water.","ऊदबिलाव · اودبلاؤ (Udbilao)

**In use**

- Mijbil the otter travelled from Iraq to London in a box, and then in a basin of water.

*From NCERT First Flight — Mijbil the Otter.*",nouns,general,NCERT First Flight — Mijbil the Otter
word,Marmalade,संतरे का मुरब्बा; مالٹے کا مربہ; Malte ka murabba,"A jam made from citrus fruit, usually oranges.","संतरे का मुरब्बा · مالٹے کا مربہ (Malte ka murabba)

**In use**

- Mij's fur was the colour of marmalade — hence the name.

*From NCERT First Flight — Mijbil the Otter.*",nouns,general,NCERT First Flight — Mijbil the Otter
word,Compulsion,"compulsive; compel; मजबूरी, प्रबल इच्छा; مجبوری; Majboori",A strong urge that is hard to resist; also force.,"मजबूरी, प्रबल इच्छा · مجبوری (Majboori)

**In use**

- Mij had a compulsion to play with water — a running tap was irresistible.

*From NCERT First Flight — Mijbil the Otter.*",nouns,general,NCERT First Flight — Mijbil the Otter
word,Thrilling,thrill; thrilled; रोमांचक; سنسنی خیز; Sansani-khez,Very exciting.,"रोमांचक · سنسنی خیز (Sansani-khez)

**In use**

- Valli's first bus ride was thrilling — every canal and palm tree new.

*From NCERT First Flight — Madam Rides the Bus.*",describing,general,NCERT First Flight — Madam Rides the Bus
word,Repulsive,repulsion; घिनौना; گھناؤنا; Ghinauna,Causing strong dislike or disgust.,"घिनौना · گھناؤنا (Ghinauna)

**In use**

- The dead cow on the road, once running so joyfully, was a repulsive sight to Valli.

*From NCERT First Flight — Madam Rides the Bus.*",describing,general,NCERT First Flight — Madam Rides the Bus
word,Mortal,mortals; mortality; नश्वर; فانی; Fani,Subject to death; human.,"नश्वर · فانی (Fani)

**In use**

- The Buddha tells Kisa Gotami that mortals are always dying; grief cannot change it.

*From NCERT First Flight — The Sermon at Benares.*",describing,general,NCERT First Flight — The Sermon at Benares
